TrialID,Animal_ID,Mass_kg,ODBA_g,SS_dur_min,SS_lap_dur_min,SS_laps_num,O2_total_ml,O2_RMR_ml_per_min,O2_RMR_ml,O2_COL_ml_per_min,COL_W_per_kg
Trial17_08,9ON6,186,0.40829356,1.777291667,1.253916667,3,4606.500001,574.7959535,1021.580058,2858.977824,5.149234253
Trial17_11,83H1,142,0.570615036,2.25,1.13625,3,4356.7,580.5679047,1306.277786,2684.640013,6.333481721
Trial17_12,01L5,156,0.271330493,4.218833333,2.128458333,4,3667.6,432.2406306,1823.55118,866.3776926,1.860490558
Trial17_16,9ON6,186,0.373722473,3.651041667,2.155875,5,9297.7,574.7959535,2098.603976,3339.291946,6.014316139
Trial17_20,01L5,156,0.362077918,7.244333333,3.27,7,8874.100001,432.2406306,3131.295208,1756.209417,3.771347145
Trial17_25,6JK5,209,0.301009911,5.22725,2.414875,5,6808.2,388.9871141,2033.332892,1977.272988,3.169313163
Trial17_26,9ON6,186,0.432051463,3.760291667,2.089416667,5,8031.7,574.7959535,2161.400434,2809.539935,5.060192894
Trial17_35,9ON6,186,0.447274387,3.210958333,2.279875,5,8536.199999,574.7959535,1845.645857,2934.61446,5.285461527
Trial17_39,6JK5,209,0.315521335,3.240875,2.247208333,4,4625.9,388.9871141,1260.658613,1497.520874,2.400332501
Trial17_41,01L5,156,0.330211672,3.866208333,2.492375,5,4475.7,432.2406306,1671.132328,1125.259109,2.416421805
Trial17_46,01L5,156,0.313379884,4.588625,2.482458333,5,4677.9,432.2406306,1983.390164,1085.419965,2.330869797
Trial17_49,9ON6,186,0.577695834,3.369958333,1.928625,5,8519.399999,574.7959535,1937.038414,3412.981573,6.147036704
Trial17_50,6JK5,209,0.484519128,4.04,2.048583333,5,8775.8,388.9871141,1571.507941,3516.719062,5.636846343
Trial17_56,83H1,142,0.374029409,3.184708333,1.560166667,3,4125.800001,580.5679047,1848.939444,1459.370082,3.442880123
Trial17_57,01L5,156,0.436984369,3.393458333,2.108333333,5,4700.7,432.2406306,1466.79057,1533.870085,3.293887683
Trial17_58,9ON6,186,0.569414523,3.793416667,2.06325,5,9837,574.7959535,2180.44055,3710.921823,6.68364952
Trial17_62,6JK5,209,0.362191699,4.323541667,2.415291667,5,7316,388.9871141,1681.801995,2332.719515,3.739048026
Trial17_63,01L5,156,0.304306458,4.830083333,2.759708333,6,5876.1,432.2406306,2087.758266,1372.73265,2.94785537
Trial17_70,6JK5,209,0.418982836,2.735333333,1.671333333,4,5078.2,388.9871141,1064.009419,2401.789339,3.849758031
Trial17_71,01L5,156,0.222846591,5.18275,2.94475,5,5054.5,432.2406306,2240.195128,955.7024779,2.052309808
Trial17_78,9ON6,186,0.47002561,3.900125,2.012,5,8591.600002,574.7959535,2241.776068,3155.97611,5.684150521
Trial17_81,83H1,142,0.496793334,3.667083333,1.281583333,3,5125.1,580.5679047,2128.990887,2337.818412,5.515275831
Trial17_82,01L5,156,0.345321001,4.137166667,2.311041667,5,4643.9,432.2406306,1788.251529,1235.654256,2.653488306
Trial18_02,9ON6,190,0.508296851,2.871875,2.203875,5,4006,587.1571568,1686.24196,1052.581494,1.855867371
Trial18_05,6JK5,210,0.438653454,1.793416667,1.309083333,3,2237.3,390.8482964,700.953849,1173.604546,1.872178681
Trial18_23,83H1,141,0.585006617,2.714916667,1.662083333,4,3162.5,576.4793983,1565.093526,961.0868728,2.28343335
Trial18_24,83H1,141,0.578952185,2.460583333,1.629083333,4,5696.7,576.4793983,1418.475599,2626.154422,6.239444903
Trial18_25,9FL3,243,0.976489609,2.121666667,0.958625,3,7764.899999,602.8372025,1279.019598,6765.81604,9.327359561
Trial18_28,9ON6,190,0.501663092,2.955166667,2.077,5,8834.4,587.1571568,1735.147258,3418.032134,6.026530342
Trial18_29,01L5,149,0.209844179,3.194291667,2.475041667,4,2619.7,412.8452177,1318.748039,525.6283071,1.181781764
Trial18_34,83H1,141,0.680702239,1.502,1.080583333,3,2989,576.4793983,865.8720563,1964.797974,4.66813703
Trial19_01,9FL3,247,0.901806465,2.876916667,1.339583333,4,9783.900002,612.7604486,1762.860747,5987.712041,8.120985967
Trial19_02,83H1,146,0.719255722,3.091458333,1.742333333,5,4973.1,596.9219302,1845.359275,1795.144858,4.118996763
Trial19_10,9FL3,247,0.867182448,3.20875,1.370958333,4,11280.4,612.7604486,1966.19509,6793.937267,9.21444933
Trial19_11,83H1,146,0.734361126,2.883625,1.447833333,4,4887.899999,596.9219302,1721.299001,2187.130884,5.018416754
