TrialID,Animal_ID,Mass_kg,SS_dur_min,SS_lap_dur_min,SS_laps_num,O2_total_ml,O2_RMR_ml,O2_COL_ml,O2_COL_ml_per_min_kg,Ffreq_min
Trial17_08,9ON6,186,1.777291667,1.253916667,3,4606.500001,1021.580058,3584.919943,15.37084851,74.32833214
Trial17_11,83H1,142,2.25,1.13625,3,4356.7,1306.277786,3050.422215,18.90591559,87.37875397
Trial17_12,01L5,156,4.218833333,2.128458333,4,3667.6,1823.55118,1844.04882,5.553703158,74.8596139
Trial17_16,9ON6,186,3.651041667,2.155875,5,9297.7,2098.603976,7199.096023,17.9531825,88.16749147
Trial17_20,01L5,156,7.244333333,3.27,7,8874.100001,3131.295208,5742.804792,11.25775267,74.99429735
Trial17_25,6JK5,209,5.22725,2.414875,5,6808.2,2033.332892,4774.867108,9.460636309,68.09026104
Trial17_26,9ON6,186,3.760291667,2.089416667,5,8031.7,2161.400434,5870.299566,15.10505341,66.16747907
Trial17_35,9ON6,186,3.210958333,2.279875,5,8536.199999,1845.645857,6690.554143,15.7774971,65.35625737
Trial17_39,6JK5,209,3.240875,2.247208333,4,4625.9,1260.658613,3365.241387,7.165171644,61.7637441
Trial17_41,01L5,156,3.866208333,2.492375,5,4475.7,1671.132328,2804.567672,7.213199417,71.66686994
Trial17_46,01L5,156,4.588625,2.482458333,5,4677.9,1983.390164,2694.509836,6.957820286,70.672012
Trial17_49,9ON6,186,3.369958333,1.928625,5,8519.399999,1937.038414,6582.361586,18.34936329,80.98782022
Trial17_50,6JK5,209,4.04,2.048583333,5,8775.8,1571.507941,7204.292059,16.826407,77.89948095
Trial17_56,83H1,142,3.184708333,1.560166667,3,4125.800001,1848.939444,2276.860557,10.2772541,60.10594325
Trial17_57,01L5,156,3.393458333,2.108333333,5,4700.7,1466.79057,3233.90943,9.832500547,82.5284241
Trial17_58,9ON6,186,3.793416667,2.06325,5,9837,2180.44055,7656.55945,19.95119259,72.94927306
Trial17_62,6JK5,209,4.323541667,2.415291667,5,7316,1681.801995,5634.198005,11.16133739,66.74396708
Trial17_63,01L5,156,4.830083333,2.759708333,6,5876.1,2087.758266,3788.341734,8.79956827,65.1676418
Trial17_70,6JK5,209,2.735333333,1.671333333,4,5078.2,1064.009419,4014.190581,11.49181502,70.67767731
Trial17_71,01L5,156,5.18275,2.94475,5,5054.5,2240.195128,2814.304872,6.126297935,57.68526775
Trial17_78,9ON6,186,3.900125,2.012,5,8591.600002,2241.776068,6349.823934,16.9676135,67.82718594
Trial17_81,83H1,142,3.667083333,1.281583333,3,5125.1,2128.990887,2996.109113,16.46350994,71.42796627
Trial17_82,01L5,156,4.137166667,2.311041667,5,4643.9,1788.251529,2855.648471,7.920860615,75.06160787
Trial18_02,9ON6,190,2.871875,2.203875,5,4006,1686.24196,2319.75804,5.539902601,62.76560741
Trial18_05,6JK5,210,1.793416667,1.309083333,3,2237.3,700.953849,1536.346151,5.588593076,67.45692789
Trial18_23,83H1,141,2.714916667,1.662083333,4,3162.5,1565.093526,1597.406473,6.816218956,77.64106044
Trial18_24,83H1,141,2.460583333,1.629083333,4,5696.7,1418.475599,4278.2244,18.62520867,80.87829024
Trial18_25,9FL3,243,2.121666667,0.958625,3,7764.899999,1279.019598,6485.880401,27.84286436,106.4926432
Trial18_28,9ON6,190,2.955166667,2.077,5,8834.4,1735.147258,7099.252742,17.98964281,63.41031282
Trial18_29,01L5,149,3.194291667,2.475041667,4,2619.7,1318.748039,1300.951961,3.527706759,49.03392315
Trial18_34,83H1,141,1.502,1.080583333,3,2989,865.8720563,2123.127944,13.9347374,88.17325385
Trial19_01,9FL3,247,2.876916667,1.339583333,4,9783.900002,1762.860747,8021.039255,24.24174915,92.61347745
Trial19_02,83H1,146,3.091458333,1.742333333,5,4973.1,1845.359275,3127.740724,12.29551273,94.21738881
Trial19_10,9FL3,247,3.20875,1.370958333,4,11280.4,1966.19509,9314.204912,27.50581889,85.92335473
Trial19_11,83H1,146,2.883625,1.447833333,4,4887.899999,1721.299001,3166.600998,14.98034852,96.55323561
