TrialID,ID,Mass_kg,LapNum,T_Start_s,T_End_s,Seg_Dur_s,Breaths_In_Seg,First_Breath_In_Station_s,Lap_Time_s,Station_Time_s,CO2_ml_per_kg_min,O2_ml_per_kg_min,ODBA_g
Trial17_12,01L5,156,1,136.735,201.21,64.475,3,181.0075,44.2725,20.2025,1.823604856,2.522742864,0.233684205
Trial17_12,01L5,156,2,201.21,261.31,60.1,3,237.0475,35.8375,24.2625,2.404966082,3.623448099,0.232603617
Trial17_12,01L5,156,3,261.31,328.035,66.725,3,303.9325,42.6225,24.1025,2.393290486,3.863158198,0.265394308
Trial17_12,01L5,156,4,328.035,397.2825,69.2475,3,361.3675,33.3325,35.915,1.801231369,3.037043826,0.300767787
Trial17_12,01L5,156,5,397.2825,465.76,68.4775,3,429.9575,32.675,35.8025,3.458744169,5.753714724,0.258168083
Trial17_12,01L5,156,6,465.76,529.3125,63.5525,4,498.2925,32.5325,31.02,3.586374681,5.682158603,0.265479351
Trial17_12,01L5,156,7,529.3125,578.095,48.7825,3,560.965,31.6525,17.13,4.224402666,6.452503065,0.293673691
Trial17_12,01L5,156,8,578.095,650.4125,72.3175,4,608.9425,30.8475,41.47,3.013421052,4.71159497,0.268517167
Trial17_20,01L5,156,1,124.41,190.475,66.065,3,169.335,44.925,21.14,2.249532803,2.958042487,0.270255279
Trial17_20,01L5,156,2,190.475,267.6525,77.1775,4,223.6625,33.1875,43.99,3.00755252,3.938971851,0.287539246
Trial17_20,01L5,156,3,267.6525,325.81,58.1575,3,302.1525,34.5,23.6575,3.128771671,4.763589589,0.256958267
Trial17_20,01L5,156,4,325.81,378.655,52.845,3,358.4125,32.6025,20.2425,4.080875128,6.081646615,0.285622768
Trial17_20,01L5,156,5,378.655,446.1725,67.5175,3,408.835,30.18,37.3375,3.462350217,5.545001154,0.310937259
Trial17_20,01L5,156,6,446.1725,496.6375,50.465,3,474.8775,28.705,21.76,4.694037757,7.25712413,0.366725204
Trial17_20,01L5,156,7,496.6375,552.115,55.4775,4,523.9075,27.27,28.2075,5.419383465,8.508646957,0.38071458
Trial17_20,01L5,156,8,552.115,625.365,73.25,4,580.6325,28.5175,44.7325,4.651614597,7.276975584,0.340488023
Trial17_20,01L5,156,9,625.365,693.1625,67.7975,4,653.6175,28.2525,39.545,4.121436291,6.270369624,0.358504458
Trial17_20,01L5,156,10,693.1625,755.31,62.1475,4,720.9025,27.74,34.4075,6.362654603,9.763373117,0.367009213
Trial17_20,01L5,156,11,755.31,813.315,58.005,4,780.845,25.535,32.47,7.685676964,10.95661515,0.420102504
Trial17_41,01L5,156,1,128.175,207.84,79.665,3,177.31,49.135,30.53,1.969304153,2.666454239,0.223142312
Trial17_41,01L5,156,2,207.84,263.8075,55.9675,3,246.6,38.76,17.2075,3.049846924,4.024313561,0.267332737
Trial17_41,01L5,156,3,263.8075,323.98,60.1725,3,308.0275,44.22,15.9525,3.152475096,4.423180791,0.263496927
Trial17_41,01L5,156,4,323.98,373.995,50.015,4,358.205,34.225,15.79,4.514799406,5.848245526,0.274650653
Trial17_41,01L5,156,5,373.995,429.285,55.29,6,405.7,31.705,23.585,5.162986769,6.685031373,0.301790301
Trial17_41,01L5,156,6,429.285,475.1975,45.9125,4,461.91,32.625,13.2875,5.623573269,7.385285556,0.314600241
Trial17_41,01L5,156,7,475.1975,519.6725,44.475,4,503.8075,28.61,15.865,6.093310849,8.26566351,0.336702961
Trial17_41,01L5,156,8,519.6725,564.005,44.3325,4,547.6775,28.005,16.3275,6.326319031,8.147348056,0.358829381
Trial17_41,01L5,156,9,564.005,605.9675,41.9625,4,592.6025,28.5975,13.365,5.542494443,6.766114434,0.345012539
Trial17_46,01L5,156,1,118.4,182.51,64.11,3,163.3725,44.9725,19.1375,1.662407161,2.353526991,0.217911605
Trial17_46,01L5,156,2,182.51,238.3075,55.7975,3,224.005,41.495,14.3025,2.336746546,3.425849656,0.230445634
Trial17_46,01L5,156,3,238.3075,291.535,53.2275,4,273.995,35.6875,17.54,4.05443976,5.951232554,0.254513906
Trial17_46,01L5,156,4,291.535,341.4725,49.9375,4,324.76,33.225,16.7125,4.439395398,6.731491287,0.265490918
Trial17_46,01L5,156,5,341.4725,391.88,50.4075,4,372.365,30.8925,19.515,3.955455347,6.041530755,0.303036486
Trial17_46,01L5,156,6,391.88,437.35,45.47,4,421.16,29.28,16.19,4.453485815,7.042682411,0.337795136
Trial17_46,01L5,156,7,437.35,485.9875,48.6375,4,468.7625,31.4125,17.225,4.872783346,7.452306111,0.266228371
Trial17_46,01L5,156,8,485.9875,551.335,65.3475,4,515.975,29.9875,35.36,3.276565815,5.420135548,0.304067592
Trial17_46,01L5,156,9,551.335,616.79,65.455,4,578.71,27.375,38.08,4.250130742,6.993648014,0.363244873
Trial17_57,01L5,156,1,142.675,199.3575,56.6825,4,169.9675,27.2925,29.39,2.579822154,3.714346783,0.409034547
Trial17_57,01L5,156,2,199.3575,245.235,45.8775,4,227.3125,27.955,17.9225,2.871358928,4.267216626,0.372837235
Trial17_57,01L5,156,3,245.235,289.215,43.98,4,273.8875,28.6525,15.3275,3.710602722,5.380067863,0.353224291
Trial17_57,01L5,156,4,289.215,326.8475,37.6325,4,313.7475,24.5325,13.1,4.785143774,6.960023302,0.472814068
Trial17_57,01L5,156,5,326.8475,366.215,39.3675,4,352.7625,25.915,13.4525,5.211249029,8.128532419,0.422186578
Trial17_57,01L5,156,6,366.215,406.065,39.85,4,392.1375,25.9225,13.9275,5.602741048,8.943152205,0.421574431
Trial17_57,01L5,156,7,406.065,445.69,39.625,5,430.6925,24.6275,14.9975,5.823829168,9.12885222,0.445223302
Trial17_57,01L5,156,8,445.69,491.055,45.365,4,470.145,24.455,20.91,5.448965231,8.864848367,0.462411186
Trial17_57,01L5,156,9,491.055,530.455,39.4,5,516.635,25.58,13.82,6.439867239,9.332292073,0.435351521
Trial17_63,01L5,156,1,153.05,200.55,47.5,4,182.73,29.68,17.82,3.377327935,3.688259109,0.302403215
Trial17_63,01L5,156,2,200.55,245.5425,44.9925,4,231.1625,30.6125,14.38,4.338329893,5.465868243,0.28001387
Trial17_63,01L5,156,3,245.5425,302.7875,57.245,4,276.3125,30.77,26.475,5.045788346,7.252228948,0.298475754
Trial17_63,01L5,156,4,302.7875,349.83,47.0425,4,331.195,28.4075,18.635,4.799260897,6.553811815,0.319214647
Trial17_63,01L5,156,5,349.83,398.3025,48.4725,4,379.865,30.035,18.4375,5.473365152,7.606216054,0.295527385
Trial17_63,01L5,156,6,398.3025,452.7575,54.455,4,427.6525,29.35,25.105,4.939152299,7.333507554,0.300690159
Trial17_63,01L5,156,7,452.7575,500.58,47.8225,4,485.3875,32.63,15.1925,4.852077193,6.571576784,0.251344226
Trial17_63,01L5,156,8,500.58,553.49,52.91,4,527.4125,26.8325,26.0775,6.549583473,9.429655584,0.388217934
Trial17_63,01L5,156,9,553.49,606.35,52.86,4,583.1125,29.6225,23.2375,5.542216013,7.520591403,0.292322751
Trial17_63,01L5,156,10,606.35,639.635,33.285,3,623.4625,17.1125,16.1725,6.38887926,8.450329901,0.316076112
Trial17_71,01L5,156,1,129.6575,195.1175,65.46,4,169.145,39.4875,25.9725,2.994782486,3.49126889,0.233293174
Trial17_71,01L5,156,2,195.1175,258.7825,63.665,5,236.3925,41.275,22.39,3.487002278,4.603422965,0.267412051
Trial17_71,01L5,156,3,258.7825,314.67,55.8875,4,298.1125,39.33,16.5575,3.959189994,5.267450063,0.21174178
Trial17_71,01L5,156,4,314.67,378.0525,63.3825,4,354.6875,40.0175,23.365,2.930316242,4.109967262,0.189630725
Trial17_71,01L5,156,5,378.0525,452.7025,74.65,4,412.2625,34.21,40.44,3.919315781,5.934875573,0.232209779
Trial17_71,01L5,156,6,452.7025,514.61,61.9075,4,488.8275,36.125,25.7825,4.369422122,5.787791339,0.216848515
Trial17_71,01L5,156,7,514.61,568.0875,53.4775,4,549.16,34.55,18.9275,5.4537674,7.292786686,0.218020532
Trial17_71,01L5,156,8,568.0875,632.6025,64.515,4,604.1225,36.035,28.48,4.457520314,6.108895367,0.207009775
Trial17_71,01L5,156,9,632.6025,689.0175,56.415,4,668.3675,35.765,20.65,4.625065619,6.356056423,0.240567429
Trial17_82,01L5,156,1,144.0275,205.9725,61.945,3,183.2125,39.185,22.76,2.826328567,3.488206039,0.218149022
Trial17_82,01L5,156,2,205.9725,263.725,57.7525,3,245.7125,39.74,18.0125,2.869672642,3.693479803,0.200133935
Trial17_82,01L5,156,3,263.725,326.5575,62.8325,3,301.9825,38.2575,24.575,3.505045466,5.027408035,0.20952938
