session,trial_number,day,treatment,Look_combined_binary,Swim_together_binary,Other_half_combined_binary,EFD_combined
1,1,1,3,1,0,0,130.3464113
1,2,1,3,1,0,1,130.3848424
1,3,1,3,1,0,1,134.7784181
1,4,1,3,1,0,0,135.7697701
1,5,1,3,1,0,0,132.5205756
1,6,1,3,1,0,0,134.6928259
1,7,1,3,1,0,0,136.3986237
1,8,1,3,1,0,0,131.0341019
1,9,1,3,1,0,0,129.4818005
1,10,1,3,0,0,0,131.5595354
2,1,1,2,1,0,1,130.0760693
2,2,1,2,1,0,1,134.5451176
2,3,1,2,1,0,1,126.3927131
2,4,1,2,1,0,1,116.3062179
2,5,1,2,0,1,1,126.8423711
2,6,1,2,0,0,0,122.466685
2,7,1,2,0,0,0,125.1654204
2,8,1,2,1,0,0,129.1312155
2,9,1,2,1,0,0,123.3562874
2,10,1,2,1,0,0,126.0587634
3,1,1,4,1,0,1,139.712547
3,2,1,4,1,0,0,140.7982703
3,3,1,4,1,0,0,139.8560501
3,4,1,4,1,0,0,133.5161261
3,5,1,4,1,0,0,139.9774854
3,6,1,4,1,1,1,138.9990832
3,7,1,4,1,0,0,136.2860268
3,8,1,4,1,0,0,139.319797
3,9,1,4,0,0,0,136.329505
3,10,1,4,1,0,0,134.4748248
4,1,2,1,1,0,1,125.5878525
4,2,2,1,0,0,0,120.9654622
4,3,2,1,0,0,0,124.7720708
4,4,2,1,1,0,0,119.8735248
4,5,2,1,0,0,1,127.1069464
4,6,2,1,0,0,0,119.9025487
4,7,2,1,0,0,0,118.2261233
4,8,2,1,0,0,0,115.5438311
4,9,2,1,1,0,0,123.1350837
4,10,2,1,1,0,0,121.9589918
5,1,2,1,1,0,1,121.8964589
5,2,2,1,1,0,0,121.5775793
5,3,2,1,0,0,0,120.7272668
5,4,2,1,1,0,0,124.7732698
5,5,2,1,1,0,0,109.1452695
5,6,2,1,0,0,0,112.0882989
5,7,2,1,0,0,0,120.5908384
5,8,2,1,1,0,1,123.6158193
5,9,2,1,1,0,0,123.9849441
5,10,2,1,1,0,0,124.4927496
6,1,2,3,1,0,1,130.1652684
6,2,2,3,1,0,0,131.6533728
6,3,2,3,1,0,0,133.2489384
6,4,2,3,1,0,1,130.0721782
6,5,2,3,1,0,1,134.7159335
6,6,2,3,1,0,1,125.9716173
6,7,2,3,0,1,1,135.3050759
6,8,2,3,1,0,1,129.0682449
6,9,2,3,0,0,1,131.9589041
6,10,2,3,1,0,1,130.8634783
7,1,3,2,1,0,1,118.7265086
7,2,3,2,1,0,1,130.8396452
7,3,3,2,1,1,1,129.0572812
7,4,3,2,0,0,0,124.0039001
7,5,3,2,0,0,0,122.8466492
7,6,3,2,1,0,0,131.030772
7,7,3,2,1,0,0,126.4736337
7,8,3,2,1,0,1,130.1038828
7,9,3,2,0,0,0,120.5897194
7,10,3,2,1,0,0,122.4151112
8,1,3,4,0,0,1,131.5062656
8,2,3,4,1,0,1,138.8168871
8,3,3,4,1,0,1,139.3205379
8,4,3,4,1,0,1,134.1500573
8,5,3,4,0,1,1,134.3690047
8,6,3,4,1,0,1,133.4062203
8,7,3,4,1,0,0,134.4597297
8,8,3,4,1,0,1,138.0619401
8,9,3,4,1,0,1,137.0370076
8,10,3,4,1,0,0,135.3293331
9,1,4,3,1,0,0,125.1876567
9,2,4,3,1,0,0,131.9520398
9,3,4,3,0,0,0,130.6517473
9,4,4,3,0,1,1,140.655146
9,5,4,3,1,0,0,131.3684411
9,6,4,3,0,0,0,125.8368459
9,7,4,3,0,0,0,122.4202532
9,8,4,3,1,0,1,134.0500126
9,9,4,3,1,0,0,125.6229442
9,10,4,3,1,0,1,132.8819414
10,1,4,5,0,0,0,155.5495118
10,2,4,5,1,0,0,158.8189029
10,3,4,5,1,0,0,155.4370946
10,4,4,5,1,0,0,159.8113125
10,5,4,5,1,0,1,155.4467834
10,6,4,5,1,0,1,157.0273412
10,7,4,5,1,0,1,151.4982732
10,8,4,5,0,1,1,158.2999432
10,9,4,5,1,0,1,157.0628221
10,10,4,5,1,1,1,157.3481027
11,1,4,5,1,0,1,153.5566398
11,2,4,5,0,1,1,154.0184969
11,3,4,5,1,0,1,158.0513872
11,4,4,5,1,0,0,156.3155639
11,5,4,5,1,1,1,161.241148
11,6,4,5,1,0,1,155.5360159
11,7,4,5,1,0,1,158.9165126
11,8,4,5,1,0,1,158.3158377
11,9,4,5,1,1,1,157.1949894
11,10,4,5,1,0,1,158.7938801
12,1,5,1,0,0,0,123.0876016
12,2,5,1,0,0,1,139.0665512
12,3,5,1,1,0,0,139.2281339
12,4,5,1,0,0,1,132.0884712
12,5,5,1,0,1,1,121.9095131
12,6,5,1,0,0,1,143.4581994
12,7,5,1,1,0,1,143.7867148
12,8,5,1,1,0,0,130.1183566
12,9,5,1,1,0,1,140.8758905
12,10,5,1,1,0,1,134.1644105
13,1,5,2,1,0,0,142.9760603
13,2,5,2,1,0,1,136.125938
13,3,5,2,1,0,1,143.2450214
13,4,5,2,1,0,0,129.0807624
13,5,5,2,0,0,1,140.2537836
13,6,5,2,0,0,1,140.0850725
13,7,5,2,1,0,1,138.2342681
13,8,5,2,1,0,1,136.6924262
13,9,5,2,1,0,0,146.0618869
13,10,5,2,1,0,1,128.7404311
14,1,5,4,1,0,1,135.9753689
14,2,5,4,1,0,0,137.291357
14,3,5,4,1,0,1,136.7188626
14,4,5,4,1,0,1,135.3162842
14,5,5,4,1,0,1,135.8263054
14,6,5,4,1,0,1,134.3346009
14,7,5,4,1,0,1,137.6834381
14,8,5,4,0,0,1,133.3762288
14,9,5,4,1,0,1,139.1413219
14,10,5,4,0,0,1,140.8483182
15,1,6,4,0,0,1,144.7714341
15,2,6,4,1,0,1,135.5393211
15,3,6,4,1,0,1,144.0588653
15,4,6,4,0,0,1,140.5737298
15,5,6,4,0,0,0,131.0908735
15,6,6,4,1,0,1,138.621188
15,7,6,4,1,0,0,133.5275204
15,8,6,4,1,0,0,134.8442108
15,9,6,4,1,0,1,141.7702814
15,10,6,4,1,0,1,130.590528
16,1,6,1,1,0,1,135.023034
16,2,6,1,0,0,0,127.1164584
16,3,6,1,1,0,1,123.9952407
16,4,6,1,0,0,0,143.5079186
16,5,6,1,1,0,0,130.7753026
16,6,6,1,0,0,0,123.1683443
16,7,6,1,1,0,1,132.6510513
16,8,6,1,1,0,0,139.3776694
16,9,6,1,1,0,1,128.3885971
16,10,6,1,0,0,0,123.7924103
17,1,6,3,1,0,0,148.7470932
17,2,6,3,0,0,1,144.4083459
17,3,6,3,1,0,1,140.5989495
17,4,6,3,1,0,0,137.3872897
17,5,6,3,0,0,1,132.2524984
17,6,6,3,1,0,1,139.4844132
17,7,6,3,1,0,1,133.0244773
17,8,6,3,0,0,0,138.9538389
17,9,6,3,1,0,0,137.2781695
18,1,7,3,1,0,1,146.2273323
18,2,7,2,1,0,1,144.7195441
18,3,7,2,1,1,1,135.6705504
18,4,7,2,1,0,1,144.1897322
18,5,7,2,0,0,1,143.6598431
18,6,7,2,0,0,0,141.66808
18,7,7,2,0,0,0,141.3145305
18,8,7,2,1,0,1,145.0907734
18,9,7,2,0,1,1,132.5297778
18,10,7,2,1,0,0,137.6499487
18,11,7,2,1,0,1,140.9040391
19,1,8,5,0,0,1,148.9940641
19,2,8,5,0,0,1,157.4712046
19,3,8,5,0,0,1,150.047033
19,4,8,5,1,0,1,159.7149703
19,5,8,5,0,0,1,154.1314104
19,6,8,5,1,0,0,150.2391242
19,7,8,5,1,0,1,152.264716
19,8,8,5,1,0,1,153.6140106
19,9,8,5,0,0,1,155.2814876
19,10,8,5,1,0,0,156.0959414
20,1,8,5,1,0,1,146.8188809
20,2,8,5,1,0,1,157.2832727
20,3,8,5,1,0,1,152.0069789
20,4,8,5,1,0,1,149.7852455
20,5,8,5,1,0,1,146.9155226
20,6,8,5,1,0,1,152.9210896
20,7,8,5,1,1,1,151.1717228
20,8,8,5,0,0,0,142.1090091
20,9,8,5,0,0,0,142.6269075
20,10,8,5,1,0,1,145.8823138
