proportion_clicking,session,day,trial_number,treatment,animal,EFD
59.101,1,1,1,3,1,133.1752754
47.069,1,1,2,3,1,133.7729422
48.006,1,1,3,3,1,130.2645261
27.376,1,1,4,3,1,136.4154092
12.075,1,1,5,3,1,133.7452487
35.651,1,1,6,3,1,128.7025531
20.939,1,1,7,3,1,136.0353721
14,1,1,8,3,1,132.3004314
14.351,1,1,9,3,1,132.0179331
54.446,1,1,10,3,1,126.3853012
29.167,2,1,1,2,1,126.9669347
13.249,2,1,2,2,1,131.204175
20.235,2,1,3,2,1,126.4190485
65.922,2,1,4,2,1,104.1287252
47.333,2,1,5,2,1,126.6393806
38.702,2,1,6,2,1,123.417698
13.677,2,1,7,2,1,127.1086576
11.913,2,1,8,2,1,132.3546999
53.631,2,1,9,2,1,118.1742945
8.6404,2,1,10,2,1,127.4797921
45.71,3,1,1,4,1,139.2878868
42.08,3,1,2,4,1,139.6568536
64.377,3,1,3,4,1,135.4645451
67.961,3,1,4,4,1,134.3198879
49.539,3,1,5,4,1,140.5888447
66.134,3,1,6,4,1,135.7783276
20.888,3,1,7,4,1,138.9196042
33.051,3,1,8,4,1,138.4215886
35.467,3,1,9,4,1,141.6607198
54.959,3,1,10,4,1,132.6388589
51.495,4,2,1,1,1,127.5657936
18.75,4,2,2,1,1,126.9998594
17.674,4,2,3,1,1,132.6604974
64.662,4,2,4,1,1,123.3606319
33.777,4,2,5,1,1,126.5299646
56.099,4,2,6,1,1,121.7572044
72.735,4,2,7,1,1,116.9255557
51.848,4,2,8,1,1,112.8425538
16,4,2,9,1,1,123.1938678
77.55,4,2,10,1,1,120.8085904
29.143,5,2,1,1,1,125.023216
10.583,5,2,2,1,1,123.7521495
80.259,5,2,3,1,1,117.6326642
59.023,5,2,4,1,1,127.4532502
47.758,5,2,5,1,1,125.4726951
70.32,5,2,6,1,1,111.0016517
72.569,5,2,7,1,1,117.9543586
61.538,5,2,8,1,1,131.731261
45.833,5,2,9,1,1,123.7789153
76.646,5,2,10,1,1,129.0141827
62.629,6,2,1,3,1,124.5338858
49.149,6,2,2,3,1,133.1017191
23.267,6,2,3,3,1,134.6896525
46.506,6,2,4,3,1,133.5039662
25.561,6,2,5,3,1,128.5440226
50.473,6,2,6,3,1,128.5888003
48.168,6,2,7,3,1,134.7919346
16.694,6,2,8,3,1,137.680204
59.806,6,2,9,3,1,129.7233391
65.662,6,2,10,3,1,131.9132764
75.599,7,3,1,2,1,120.6409773
14.303,7,3,2,2,1,130.1604769
26.115,7,3,3,2,1,140.5385344
50.114,7,3,4,2,1,121.6564059
66.774,7,3,5,2,1,122.8871445
41.42,7,3,6,2,1,130.5455373
49.974,7,3,7,2,1,126.1049733
0,7,3,8,2,1,132.8966757
77.576,7,3,9,2,1,117.4360965
58.177,7,3,10,2,1,123.0489327
0,8,3,1,4,1,131.5062656
56.732,8,3,2,4,1,141.3513818
17,8,3,3,4,1,136.7177331
49.556,8,3,4,4,1,139.4086664
49.283,8,3,5,4,1,139.5168563
61.15,8,3,6,4,1,132.1225409
63.176,8,3,7,4,1,134.4211696
41.12,8,3,8,4,1,134.2752164
23.146,8,3,9,4,1,144.100405
23.68,8,3,10,4,1,136.0929137
67.176,9,4,1,3,1,133.2758533
28.018,9,4,2,3,1,132.3706992
36.751,9,4,3,3,1,128.309975
45.614,9,4,4,3,1,146.1249082
8.1852,9,4,5,3,1,135.4840797
0,9,4,6,3,1,122.135936
9.7589,9,4,7,3,1,120.1457119
16.125,9,4,8,3,1,131.3052607
46.634,9,4,9,3,1,131.1908886
25.558,9,4,10,3,1,127.5637953
18.114,10,4,1,5,1,155.643392
0,10,4,2,5,1,159.4220151
27.902,10,4,3,5,1,158.4073375
25.532,10,4,4,5,1,161.6077415
28.765,10,4,5,5,1,154.8831822
36.145,10,4,6,5,1,159.7402428
32.156,10,4,7,5,1,149.6534657
14.074,10,4,8,5,1,156.4373104
21.404,10,4,9,5,1,157.8334587
21.896,10,4,10,5,1,159.8763737
37.098,11,4,1,5,1,156.9246807
10.767,11,4,2,5,1,155.931598
23.474,11,4,3,5,1,157.3239769
16.004,11,4,4,5,1,160.3266503
33.458,11,4,5,5,1,161.1848269
61.119,11,4,6,5,1,158.0475309
26.382,11,4,7,5,1,157.9910315
36.839,11,4,8,5,1,159.346891
25.411,11,4,9,5,1,158.537511
21.581,11,4,10,5,1,159.0637606
34.099,12,5,1,1,1,124.9235671
6.0067,12,5,2,1,1,148.391657
22.349,12,5,3,1,1,139.1947952
63.652,12,5,4,1,1,130.0689525
87.78,12,5,5,1,1,112.1034932
26.411,12,5,6,1,1,139.6421283
10.561,12,5,7,1,1,147.7982466
46.5,12,5,8,1,1,137.3888721
10.786,12,5,9,1,1,149.4578249
64.717,12,5,10,1,1,119.5413634
39.557,13,5,1,2,1,145.9933611
8.199,13,5,2,2,1,139.7522547
27.512,13,5,3,2,1,151.0252972
41.933,13,5,4,2,1,132.8237316
15.605,13,5,5,2,1,147.5346713
48.975,13,5,6,2,1,138.6975862
14.261,13,5,7,2,1,133.3428231
26.586,13,5,8,2,1,130.9960356
32.8,13,5,9,2,1,148.7702205
75.702,13,5,10,2,1,126.342483
62.667,14,5,1,4,1,138.7659568
25.268,14,5,2,4,1,143.5599106
7.0769,14,5,3,4,1,144.657132
60.941,14,5,4,4,1,127.7168722
72.814,14,5,5,4,1,141.2963818
36.033,14,5,6,4,1,139.8026335
26.923,14,5,7,4,1,140.29448
50.2,14,5,8,4,1,139.156478
65.686,14,5,9,4,1,135.466183
26.82,14,5,10,4,1,140.3125647
26.909,15,6,1,4,1,151.9784445
8.3077,15,6,2,4,1,139.3903946
47.227,15,6,3,4,1,142.0333243
0,15,6,4,4,1,140.5737298
57.344,15,6,5,4,1,134.2644284
55.344,15,6,6,4,1,137.6418157
40.651,15,6,7,4,1,129.7534524
51.872,15,6,8,4,1,140.6274178
9.875,15,6,9,4,1,138.4051944
76.293,15,6,10,4,1,132.0757702
21.418,16,6,1,1,1,126.6505355
75.285,16,6,2,1,1,112.6641371
14.09,16,6,3,1,1,125.3280434
78.644,16,6,4,1,1,147.9722452
47.29,16,6,5,1,1,127.4540878
46.118,16,6,6,1,1,116.2231382
54.566,16,6,7,1,1,119.5151274
36.741,16,6,8,1,1,132.5147958
33.44,16,6,9,1,1,126.604978
83.61,16,6,10,1,1,109.3770976
72.465,17,6,1,3,1,152.2380429
58.759,17,6,2,3,1,145.4610482
60.839,17,6,3,3,1,140.3768484
41.407,17,6,4,3,1,140.6190991
42.685,17,6,5,3,1,135.7490519
57.622,17,6,6,3,1,134.6500329
62.349,17,6,7,3,1,131.3622348
41.823,17,6,8,3,1,136.4330734
49.13,17,6,9,3,1,141.2609925
17.176,18,7,1,3,1,153.2079443
25.778,18,7,2,2,1,150.3464759
38.508,18,7,3,2,1,136.093486
24.6,18,7,4,2,1,144.2382163
48.197,18,7,5,2,1,141.1689418
40.414,18,7,6,2,1,138.5088408
30.737,18,7,7,2,1,144.7388
