session,day,trial_number,treatment ,outcome ,EFD_combined
1,1,1,3,1,130.3464113
1,1,2,3,1,130.3848424
1,1,3,3,0,134.7784181
1,1,4,3,0,135.7697701
1,1,5,3,1,132.5205755
1,1,6,3,1,134.6928259
1,1,7,3,0,136.3986237
1,1,8,3,1,131.0341019
1,1,9,3,0,129.4818005
1,1,10,3,1,131.5595354
2,1,1,2,1,130.0760692
2,1,2,2,1,134.5451176
2,1,3,2,0,126.3927131
2,1,4,2,1,116.3062179
2,1,5,2,1,126.8423711
2,1,6,2,1,122.466685
2,1,7,2,1,125.1654204
2,1,8,2,1,129.1312155
2,1,9,2,1,123.3562873
2,1,10,2,1,126.0587634
3,1,1,4,1,139.712547
3,1,2,4,0,140.7982702
3,1,3,4,0,139.8560501
3,1,4,4,1,133.516126
3,1,5,4,1,139.9774854
3,1,6,4,1,138.9990832
3,1,7,4,0,136.2860267
3,1,8,4,0,139.319797
3,1,9,4,1,136.3295049
3,1,10,4,1,134.4748248
4,2,1,1,0,125.5878524
4,2,2,1,1,120.9654622
4,2,3,1,1,124.7720707
4,2,4,1,0,119.8735248
4,2,5,1,1,127.1069463
4,2,6,1,1,119.9025487
4,2,7,1,1,118.2261233
4,2,8,1,1,115.5438311
4,2,9,1,1,123.1350837
4,2,10,1,1,121.9589918
5,2,1,1,1,121.8964588
5,2,2,1,0,121.5775793
5,2,3,1,1,120.7272668
5,2,4,1,1,124.7732697
5,2,5,1,1,109.1452695
5,2,6,1,1,112.0882989
5,2,7,1,1,120.5908384
5,2,8,1,1,123.6158192
5,2,9,1,1,123.9849441
5,2,10,1,1,124.4927496
6,2,1,3,1,130.1652684
6,2,2,3,1,131.6533727
6,2,3,3,0,133.2489384
6,2,4,3,1,130.0721782
6,2,5,3,0,134.7159334
6,2,6,3,1,125.9716173
6,2,7,3,1,135.3050759
6,2,8,3,1,129.0682449
6,2,9,3,1,131.9589041
6,2,10,3,0,130.8634783
7,3,1,2,1,118.7265086
7,3,2,2,1,130.8396452
7,3,3,2,0,129.0572812
7,3,4,2,1,124.0039001
7,3,5,2,1,122.8466492
7,3,6,2,1,131.030772
7,3,7,2,0,126.4736336
7,3,8,2,1,130.1038828
7,3,9,2,1,120.5897194
7,3,10,2,1,122.4151112
8,3,1,4,0,131.5062656
8,3,2,4,1,138.8168871
8,3,3,4,0,139.3205379
8,3,4,4,1,134.1500573
8,3,5,4,1,134.3690047
8,3,6,4,0,133.4062203
8,3,7,4,1,134.4597296
8,3,8,4,1,138.0619401
8,3,9,4,1,137.0370076
8,3,10,4,1,135.3293331
9,4,1,3,0,125.1876566
9,4,2,3,0,131.9520397
9,4,3,3,1,130.6517472
9,4,4,3,1,140.6551459
9,4,5,3,1,131.3684411
9,4,6,3,0,125.8368458
9,4,7,3,0,122.4202532
9,4,8,3,1,134.0500126
9,4,9,3,1,125.6229442
9,4,10,3,0,132.8819414
10,4,1,5,1,155.5495118
10,4,2,5,0,158.8189029
10,4,3,5,1,155.4370946
