TrialID,Animal_ID,State,ODBA_g,O2_ml_per_kg_min,W_per_kg
Trial17_08,9ON6,SteadyState,0.309358626,13.93475787,4.668143886
Trial17_11,83H1,SteadyState,0.326576959,13.63599374,4.568057903
Trial17_12,01L5,SteadyState,0.154752072,5.572691442,1.866851633
Trial17_16,9ON6,SteadyState,0.218368098,13.69133496,4.586597211
Trial17_20,01L5,SteadyState,0.193874776,7.852379756,2.630547218
Trial17_25,6JK5,SteadyState,0.161978345,6.231789109,2.087649351
Trial17_26,9ON6,SteadyState,0.269221453,11.48346634,3.846961225
Trial17_35,9ON6,SteadyState,0.349294623,14.29278851,4.788084152
Trial17_39,6JK5,SteadyState,0.246572086,6.829480564,2.287875989
Trial17_41,01L5,SteadyState,0.23873281,7.420806677,2.485970237
Trial17_46,01L5,SteadyState,0.190841452,6.53497256,2.189215808
Trial17_49,9ON6,SteadyState,0.368131778,13.59162971,4.553195953
Trial17_50,6JK5,SteadyState,0.28155951,10.39343408,3.481800417
Trial17_56,83H1,SteadyState,0.216859662,9.123262334,3.056292882
Trial17_57,01L5,SteadyState,0.303773285,8.879641165,2.97467979
Trial17_58,9ON6,SteadyState,0.361336108,13.94181062,4.670506558
Trial17_62,6JK5,SteadyState,0.226444038,8.09632181,2.712267806
Trial17_63,01L5,SteadyState,0.200563089,7.79847988,2.61249076
Trial17_70,6JK5,SteadyState,0.292996371,8.882868995,2.975761113
Trial17_71,01L5,SteadyState,0.148789622,6.251631089,2.094296415
Trial17_78,9ON6,SteadyState,0.273244542,11.84356857,3.96759547
Trial17_81,83H1,SteadyState,0.205110904,9.842223436,3.297144851
Trial17_82,01L5,SteadyState,0.224373487,7.195405006,2.410460677
Trial18_02,9ON6,SteadyState,0.415971497,7.341618464,2.459442186
Trial18_05,6JK5,SteadyState,0.341221385,5.940509934,1.990070828
Trial18_23,83H1,SteadyState,0.360069038,8.261424112,2.767577077
Trial18_24,83H1,SteadyState,0.402354947,16.41973556,5.500611413
Trial18_25,9FL3,SteadyState,0.458922378,15.06095255,5.045419103
Trial18_28,9ON6,SteadyState,0.374046509,15.73408452,5.270918314
Trial18_29,01L5,SteadyState,0.17306784,5.504155859,1.843892213
Trial18_34,83H1,SteadyState,0.525054122,14.11356961,4.728045821
Trial19_01,9FL3,SteadyState,0.425705539,13.76853617,4.612459617
Trial19_02,83H1,SteadyState,0.437499734,11.0182073,3.691099444
